Name,Best,0,1,2,3,4
Klungo 1,00:01:59.5260000,00:02:00.9600000,00:01:59.5260000,00:02:07.7840000,00:02:07.3070000,00:02:12.7890000
MT Puzzle,00:02:57.9000000,00:02:57.9000000,00:03:00.4070000,00:03:06.7180000,00:03:00.8300000,00:02:59.5140000
Golden Goliath,00:04:38.7960000,00:04:46.4600000,00:04:48.6910000,00:04:38.7960000,00:04:41.0780000,00:04:41.7090000
Bovina,00:03:44.3950000,00:04:52.8300000,00:03:52.1890000,00:03:54.3250000,00:03:44.3950000,00:03:45.4530000
Targitzan,00:03:19.0540000,00:03:29.3000000,00:03:32.8060000,00:03:35.3580000,00:03:19.4300000,00:03:19.0540000
GGM Puzzle,00:01:15.2560000,00:01:24.7300000,00:01:18.7190000,00:01:16.0070000,00:01:17.7190000,00:01:15.2560000
WW Puzzle,00:01:21.5830000,00:01:23.7000000,00:01:25.0470000,00:01:22.1340000,00:01:21.5830000,00:01:28.9320000
Enter WW (GGM),00:05:38.1200000,00:06:03.7300000,00:05:42.1480000,00:07:16.0180000,00:05:50.7790000,00:05:38.1200000
Crazy Castle,00:08:36.9070000,00:09:08.7200000,00:08:43.4730000,00:08:49.2820000,00:08:36.9070000,00:08:55.7670000
Cave of Horrors,00:05:27.7320000,00:06:08.1300000,00:05:51.0320000,00:05:41.4430000,00:05:34.1230000,00:05:27.7320000
JRL Puzzle (Fade),00:01:40.4630000,00:01:45.0700000,00:01:41.1710000,00:01:40.4630000,00:01:43.2470000,00:01:44.5020000
Cliff Top (Roysten),00:03:59.8370000,00:04:05.1700000,00:04:01.1640000,00:04:15.4370000,00:03:59.8370000,00:04:16.5890000
Shipwreck,00:06:18.9790000,00:07:21.7300000,00:06:41.5460000,00:06:30.3940000,00:06:18.9790000,00:06:22.2850000
Submarine,00:04:34.6930000,00:06:47.5000000,00:04:39.2900000,00:04:37.7170000,00:04:34.6930000,00:05:08.0030000
Klungo 2,00:02:44.4750000,00:02:55.6300000,00:02:58.6260000,00:02:44.4750000,00:02:49.4060000,00:02:52.6370000
Bloatizan,00:03:26.6880000,00:05:41.3000000,00:04:09.3570000,00:03:26.6880000,00:04:32.4210000,00:03:36.3820000
Prison Compound,00:02:07.5100000,00:02:14.3400000,00:02:15.2620000,00:02:07.5100000,00:02:22.8620000,00:02:08.6630000
Ordnance,00:05:49.2120000,00:06:15.8300000,00:06:18.5240000,00:05:49.2120000,00:05:55.7710000,00:05:52.5070000
Generator,00:03:56.0330000,00:04:17.0600000,00:04:02.0530000,00:03:59.6680000,00:04:12.5580000,00:03:56.0330000
TDL Puzzle,00:01:24.9000000,00:01:24.9000000,00:01:32.1740000,00:01:28.8150000,00:01:27.7020000,00:01:34.4520000
GI Puzzle (Fade),00:02:01.6870000,00:02:06.9600000,00:02:06.8470000,00:02:01.6870000,00:02:02.8380000,00:02:09.2390000
Enter TDL,00:01:17.6370000,00:01:19.0600000,00:01:19.1190000,00:01:34.1050000,00:01:19.3520000,00:01:17.6370000
Terry,00:08:28.3290000,0:10:47.554292,00:09:08.0260000,00:08:41.6640000,00:08:28.3290000,00:08:30.6580000
Leave,00:06:16.9470000,0:08:00.188318,00:07:58.6520000,00:06:44.8290000,00:06:39.3070000,00:06:16.9470000
Cliff Top (Jinjo),00:01:08.5440000,0:01:27.317390,00:01:10.3810000,00:01:11.8510000,00:01:16.7590000,00:01:08.5440000
Big Fish,00:07:35.4990000,00:07:47.0000000,00:07:47.6740000,00:08:36.6340000,00:07:35.4990000,00:11:41.0540000
Smugglers,00:02:56.1650000,00:03:13.0700000,00:03:18.0140000,00:03:07.9810000,00:02:56.1650000,00:02:57.8660000
Break In,00:01:08.7350000,00:07:25.4700000,00:01:11.7830000,00:01:15.8310000,00:01:08.7350000,00:09:06.6460000
Leg Spring,00:03:09.6540000,00:03:20.6600000,00:04:41.1720000,00:03:22.1890000,00:03:09.6540000,00:03:12.3090000
Roof Warp,00:06:48.6370000,00:09:24.4000000,00:07:18.9790000,00:07:34.3940000,00:09:15.4570000,00:06:48.6370000
Clinkers,00:04:51.4390000,00:05:41.1400000,00:05:36.9900000,00:04:51.4390000,00:08:49.5060000,00:05:43.8360000
HFP Puzzle,00:01:40.5080000,00:02:05.1300000,00:01:43.3970000,00:01:48.2360000,00:01:40.8380000,00:01:40.5080000
CCL Puzzle (Fade),00:02:18.2300000,00:02:18.2300000,00:02:18.2940000,00:02:18.6220000,00:02:21.4070000,00:02:24.2870000
Enter CCL,00:01:22.6270000,00:03:50.5700000,00:01:24.4890000,00:01:23.4390000,00:01:23.3030000,00:01:22.6270000
Trash Can,00:06:35.2230000,00:07:09.3000000,00:07:11.3680000,00:07:41.1620000,00:06:35.2230000,00:07:34.3340000
Wumba,00:05:20.7730000,00:06:26.5000000,00:05:44.8760000,00:06:02.5470000,00:05:20.7730000,0:05:30.918207
Bee,00:04:06.8050000,00:04:14.3700000,00:07:24.3470000,00:04:45.2450000,00:04:06.8050000,0:04:14.610793
Enter HFP,00:00:38.2310000,00:00:41.4600000,00:00:43.6150000,00:00:39.0960000,00:00:40.3300000,00:00:38.2310000
